Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Rattlesnake Creek,Dixon County,Nebraska,Donation/support to local cause,2018,Enel Green Power,101,320.0,,"- In 2018, Enel Green Power donated $60,000 to the Allen-Waterbury Fire District for purchase of a new ambulance to serve Dixon County.

- Enel has contributed significantly to the Rural Workforce Housing Investment Fund in the city of Wakefield. The fund is used by the community to remodel or build new homes to help the area attract and maintain a rural work force. 

- Throughout the lifetime of the Rattlesnake Creek project, Enel Green Power has committed to sponsoring education and training in science, technology and renewable energy, including providing scholarships to local students to participate in wind energy training programs.","https://sandhillsexpress.com/local-news/wind-farm-owner-donates-to-dixon-county-fire-crew/, https://www.enelgreenpower.com/stories/articles/2019/01/clean-energy-nebraska-thanks-to-the-rattlesnake-creek-wind-farm#",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sholes,"Wayne County, Stanton County",Nebraska,Donation/support to local cause,2019,Invenergy,71,160.0,,"- NextEra Energy Resources has pledged to sponsor tours of the Nebraska State Capitol for all fourth grade students in Wayne and Stanton counties for the operational life of the Sholes Wind Energy Center. NextEra was a lead sponsor of the Nebraska Experience for Fourth Graders, an initiative during the Nebraska 150 Celebration in 2017. ",https://www.prnewswire.com/news-releases/nextera-energy-resources-oppd-break-ground-on-the-sholes-wind-energy-center-marking-more-than-200-million-investment-in-nebraska-300687108.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Steele Flats,"Jefferson County, Gage County",Nebraska,Donation/support to local cause,2013,NextEra Energy Resources,44,74.8,,"- In 2023, NextEra Energy Resources donated $10,000 to Diller Fire and Rescue.",https://fairburyjournalnews.com/community-donation/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Upstream,Antelope County,Nebraska,Donation/support to local cause,2018,Invenergy,81,202.5,,"- In 2022, Invenergy supported the Warrior Roots Project, a tiered landscape initiative led by the local Future Farmers of America chapter. This project aims to educate students on planning and planting gardens. The donation went toward the project's foundation, including the retaining wall, safety railings, and new garden beds.",https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Spring Valley,White Pine County,Nevada,Donation/support to local cause,2012,Pattern Energy,66,152.0,Non-financial,"- Spring Valley Wind partners with Great Basin College to provide ongoing funding for engineering and energy-focused education programs.

- In 2024, Pattern Energy agreed to donate unused right-of-way acreage within the Spring Valley Wind project footprint, allowing that land to be part of the Bahsahwahbee National Momunent. This was done in partnership with the the Confederated Tribes of the Goshute Reservation, Duckwater Shoshone Tribe, and Ely Shoshone Tribe; the Tribes are working to preserve and commemorate Bahsahwahbee as a National Monument within the National Park Service. Spring Valley Wind is located on Bureau of Land Management land.","https://patternenergy.com/projects/spring-valley-wind/, https://elynews.com/2024/05/03/tribes-renewable-industry-work-together-for-a-new-national-monument/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Groton,Grafton County,New Hampshire,Donation/support to local cause,2012,Iberdrola,24,48.0,,"- Around 2014, Ibedrola donated to the Groton Historical Society on behalf of the Groton Wind Farm. Funds were used to replace the porch on Schoolhouse #4, the last remaining one-room schoolhouse in Groton, New Hampshire.",https://www.linkedin.com/posts/avangrid-renewables_thanks-to-donations-from-iberdrola-renewables-activity-5886943407070269440-1U-3/?trk=public_profile,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Broadview,"Curry County (NM), Deaf Smith County (TX)",New Mexico,Donation/support to local cause,2017,Pattern Energy,141,324.0,Payment to government outside of an agreement,"- Broadview Wind’s Community Benefits Program has involved donations to the Broadview Firehouse, Bootleg Volunteer Fire Department, the No Worries Wall Project, Angel Ministries, and a Back to School Festival. This has included a $34,000 donation to the Bootleg Fire Department and $2,500 donation to help with roof repair at Angel Ministries.  

- Broadview Wind has donated $150,000 to the Village of Grady and $150,000 to the Grady Municipal School District.

- In 2024, Pattern Energy donated six jump bags with AED systems to the Curry County Road Department to support emergency response; this donation was on behalf of the Grady and Broadview wind projects Pattern owns in the county.

- In 2024, Pattern Energy donated $25,000 to the Shelter Fund at the Community Foundation of Lincoln County to support residents of Lincoln County that have been impacted by wildfires and flooding. The donation was made on behalf of the Western Spirit, Broadview, Grady, and SunZia wind farms.","https://patternenergy.com/projects/broadview-wind/, https://patternenergy.com/clovis-back-school-bash/, https://www.nmlegis.gov/handouts/RSTP%20111918%20Item%207%20Pattern%20Energy%20Presentation.pdf, https://patternenergy.com/pattern-energy-supports-ruidoso-neighbors/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Grady,Curry County,New Mexico,Donation/support to local cause,2019,Pattern Energy,84,220.0,,"- Grady Wind has supported local organizations, including schools and first responders; this includes a $200,000 donation to a local charitable organization.

- In 2024, Pattern Energy donated six jump bags with AED systems to the Curry County Road Department to support emergency response; this donation was on behalf of the Grady and Broadview wind projects Pattern owns in the county.

- In 2024, Pattern Energy donated $25,000 to the Shelter Fund at the Community Foundation of Lincoln County to support residents of Lincoln County that have been impacted by wildfires and flooding. The donation was made on behalf of the Western Spirit, Broadview, Grady, and SunZia wind farms.","https://patternenergy.com/projects/grady-wind/, https://www.nmlegis.gov/handouts/RSTP%20111918%20Item%207%20Pattern%20Energy%20Presentation.pdf, https://patternenergy.com/pattern-energy-supports-ruidoso-neighbors/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Macho Springs Wind Farm I,Luna County,New Mexico,Non-financial,2011,Capital Power,28,50.0,Donation/support to local cause,"- Capital Power has supported local organizations and events, including the Deming Chamber Annual Gala, Luna County DWI Prevention Program, Great American Duck Race, Deming Luna County Crime Stoppers, Camp Innoventure, and MainStreet Luna County Salsa Festival.",https://www.capitalpower.com/operations/macho-springs-wind/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Oso Grande,"Lea County, Chaves County",New Mexico,Donation/support to local cause,2020,Tuscon Electric Power,61,250.0,Non-financial,"- In 2021, Tucson Electric Power (TEP) donated $50,000 to more than 20 organizations in the White Mountains community near the Springerville Generating Center and rural New Mexico near the Oso Grande wind farm. This was part of $2.1 million total that TEP donated to 176 nonprofits and causes focusing on community assistance, education, and environmental stewardship. 

- In 2022, TEP donated $2,500 to the Roswell unit of the Boys & Girls Clubs of Chaves and Lincoln Counties. This donation, combined with contributions from other local businesses, is being used to cover a year’s worth of fuel, maintenance, and other expenses for vans transporting youth. TEP employees also volunteered with the club during a free Thanksgiving meal event, serving about 200 people.","https://www.tep.com/news/tep-supports-community-with-2-1-million-in-donations-in-2021/, https://electricenergyonline.com/article/energy/category/general/90/999678/tep-donates-1-4-million-in-2022-with-emphasis-on-housing-stability.html, https://www.rdrnews.com/news/community/wind-energy-group-donate-to-local-club/article_98bc084e-71d5-11ed-a803-0bd0398592e7.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,San Juan Mesa,"Roosevelt County, Chaves County",New Mexico,Non-financial,2005,Clearway Energy Group,120,120.0,Donation/support to local cause,- The San Juan Mesa team installed siding at a school playground and supports youth sports in the town of Elida.,https://investor.clearwayenergy.com/static-files/735f7b2c-ef35-49c6-b82c-ef76bba67051,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Western Spirit,"Torrance County, Guadeloupe County, Lincoln County",New Mexico,Donation/support to local cause,2021,Pattern Energy,377,1050.0,,"- Western Spirit Wind has supported local organizations, including the Tri-County Community Group, the Community Foundation of Lincoln County, and the Duran Mutual Domestic Heritage Society (for restoration of a historic school building).

- In 2024, Pattern Energy donated $25,000 to the Shelter Fund at the Community Foundation of Lincoln County to support residents of Lincoln County that have been impacted by wildfires and flooding. The donation was made on behalf of the Western Spirit, Broadview, Grady, and SunZia wind farms.","https://patternenergy.com/projects/western-spirit-wind/, https://patternenergy.com/pattern-energy-supports-ruidoso-neighbors/ ",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Arkwright Summit,Chautauqua County,New York,Formal agreement,2018,EDP Renewables,36,78.0,,"- Through a host community agreement with the town of Arkwright, the Arkwright Summit wind farm pays a minimum of $3,800 per megawatt per year in host community payments; these payments continue over the lifespan of the project and increase with inflation. This is in addition to PILOT (payment in lieu of taxes) payments paid to the county, town, and school districts. ","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://www.edpr.com/north-america/arkwright-summit-wind-farm, https://www.edpr.com/north-america/sites/edprna/files/2020-09/Arkwright-Summit-App-I-Economic-Impact.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Baron Winds,Steuben County,New York,Formal agreement,2021,RWE,32,122.0,,"- For the Baron Winds project, RWE established four separate host community agreements with the communities of Dansville, Fremont, Cohocton, and Wayland. Payment amounts differ slightly between the agreements, mainly dependent on how many turbines are in each town. The agreements include a one-time Construction Period Payment (in consideration of impacts associated with construction of the project) in the amount of $1,000 times the total number of turbines constructed in the town. Annually, RWE pays each town a host community fee in an amount of $2,500-3,000 (differs depending on the town) per MW of nameplate rated capacity for each turbine installed in the town. These payments are adjusted annually for inflation. RWE also committed to reimbursing the towns for all reasonable costs, fees, and expenses paid to special legal counsel and the on-site monitor incurred in connection with the project.",Matilda has PDFs of some of the agreements,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
